season,week,game_id,away_team,home_team,kickoff_at,game_window
2026,1,2026_W01_ARI_AT_LAC,ARI,LAC,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_ATL_AT_PIT,ATL,PIT,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_BAL_AT_IND,BAL,IND,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_BUF_AT_HOU,BUF,HOU,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_CHI_AT_CAR,CHI,CAR,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_CLE_AT_JAX,CLE,JAX,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_DAL_AT_NYG,DAL,NYG,2026-09-13T20:20:00,SUNDAY_NIGHT
2026,1,2026_W01_DEN_AT_KC,DEN,KC,2026-09-14T20:15:00,MONDAY
2026,1,2026_W01_GB_AT_MIN,GB,MIN,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_MIA_AT_LV,MIA,LV,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_NE_AT_SEA,NE,SEA,2026-09-09T20:20:00,OTHER
2026,1,2026_W01_NO_AT_DET,NO,DET,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_NYJ_AT_TEN,NYJ,TEN,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_SF_AT_LAR,SF,LAR,2026-09-10T20:35:00,THURSDAY
2026,1,2026_W01_TB_AT_CIN,TB,CIN,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_WAS_AT_PHI,WAS,PHI,2026-09-13T16:25:00,SUNDAY_LATE
