season,week,team,opponent,game_id,source,public_pick_pct,consensus_public_pick_pct,source_count,sources,sample_size,pulled_at,notes
2026,1,LAC,ARI,2026_W01_ARI_AT_LAC,CONSENSUS,0.06154639175257732,0.06154639175257732,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,PIT,ATL,2026_W01_ATL_AT_PIT,CONSENSUS,0.058762886597938144,0.058762886597938144,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,BAL,IND,2026_W01_BAL_AT_IND,CONSENSUS,0.05123711340206186,0.05123711340206186,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,BUF,HOU,2026_W01_BUF_AT_HOU,CONSENSUS,0.04639175257731959,0.04639175257731959,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,JAX,CLE,2026_W01_CLE_AT_JAX,CONSENSUS,0.03,0.03,2,espn;yahoo,85000,2026-09-08T12:05:00Z,sample_size_weighted
2026,1,KC,DEN,2026_W01_DEN_AT_KC,CONSENSUS,0.17391752577319589,0.17391752577319589,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,MIN,GB,2026_W01_GB_AT_MIN,CONSENSUS,0.03,0.03,1,survivorgrid,12000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,SEA,NE,2026_W01_NE_AT_SEA,CONSENSUS,0.07762886597938144,0.07762886597938144,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,DET,NO,2026_W01_NO_AT_DET,CONSENSUS,0.09360824742268041,0.09360824742268041,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,CIN,TB,2026_W01_TB_AT_CIN,CONSENSUS,0.04721649484536083,0.04721649484536083,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
2026,1,PHI,WAS,2026_W01_WAS_AT_PHI,CONSENSUS,0.13762886597938145,0.13762886597938145,3,espn;survivorgrid;yahoo,97000,2026-09-08T12:10:00Z,sample_size_weighted
