season,week,team,game_id,source,public_pick_pct,sample_size,pulled_at,notes
2026,1,KC,2026_W01_DEN_AT_KC,yahoo,0.18,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,PHI,2026_W01_WAS_AT_PHI,yahoo,0.14,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,DET,2026_W01_NO_AT_DET,yahoo,0.09,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,SEA,2026_W01_NE_AT_SEA,yahoo,0.08,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,LAC,2026_W01_ARI_AT_LAC,yahoo,0.07,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,PIT,2026_W01_ATL_AT_PIT,yahoo,0.06,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,BAL,2026_W01_BAL_AT_IND,yahoo,0.05,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,BUF,2026_W01_BUF_AT_HOU,yahoo,0.05,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,CIN,2026_W01_TB_AT_CIN,yahoo,0.04,50000,2026-09-08T12:00:00Z,synthetic fixture
2026,1,JAX,2026_W01_CLE_AT_JAX,yahoo,0.03,50000,2026-09-08T12:00:00Z,synthetic fixture
