season,week,game_id,away_team,home_team,kickoff_at,game_window
2026,1,2026_W01_ARI_AT_LAC,ARI,LAC,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_ATL_AT_PIT,ATL,PIT,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_BAL_AT_IND,BAL,IND,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_BUF_AT_HOU,BUF,HOU,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_CHI_AT_CAR,CHI,CAR,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_CLE_AT_JAX,CLE,JAX,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_DAL_AT_NYG,DAL,NYG,2026-09-13T20:20:00,SUNDAY_NIGHT
2026,1,2026_W01_DEN_AT_KC,DEN,KC,2026-09-14T20:15:00,MONDAY
2026,1,2026_W01_GB_AT_MIN,GB,MIN,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_MIA_AT_LV,MIA,LV,2026-09-13T16:25:00,SUNDAY_LATE
2026,1,2026_W01_NE_AT_SEA,NE,SEA,2026-09-09T20:20:00,OTHER
2026,1,2026_W01_NO_AT_DET,NO,DET,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_NYJ_AT_TEN,NYJ,TEN,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_SF_AT_LAR,SF,LAR,2026-09-10T20:35:00,THURSDAY
2026,1,2026_W01_TB_AT_CIN,TB,CIN,2026-09-13T13:00:00,SUNDAY_EARLY
2026,1,2026_W01_WAS_AT_PHI,WAS,PHI,2026-09-13T16:25:00,SUNDAY_LATE
2026,2,2026_W02_CAR_AT_ATL,CAR,ATL,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_CIN_AT_HOU,CIN,HOU,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_CLE_AT_TB,CLE,TB,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_DET_AT_BUF,DET,BUF,2026-09-17T20:15:00,THURSDAY
2026,2,2026_W02_GB_AT_NYJ,GB,NYJ,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_IND_AT_KC,IND,KC,2026-09-20T20:20:00,SUNDAY_NIGHT
2026,2,2026_W02_JAX_AT_DEN,JAX,DEN,2026-09-20T16:05:00,SUNDAY_LATE
2026,2,2026_W02_LV_AT_LAC,LV,LAC,2026-09-20T16:05:00,SUNDAY_LATE
2026,2,2026_W02_MIA_AT_SF,MIA,SF,2026-09-20T16:25:00,SUNDAY_LATE
2026,2,2026_W02_MIN_AT_CHI,MIN,CHI,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_NO_AT_BAL,NO,BAL,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_NYG_AT_LAR,NYG,LAR,2026-09-21T20:15:00,MONDAY
2026,2,2026_W02_PHI_AT_TEN,PHI,TEN,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_PIT_AT_NE,PIT,NE,2026-09-20T13:00:00,SUNDAY_EARLY
2026,2,2026_W02_SEA_AT_ARI,SEA,ARI,2026-09-20T16:25:00,SUNDAY_LATE
2026,2,2026_W02_WAS_AT_DAL,WAS,DAL,2026-09-20T16:25:00,SUNDAY_LATE
2026,3,2026_W03_ARI_AT_SF,ARI,SF,2026-09-27T16:05:00,SUNDAY_LATE
2026,3,2026_W03_ATL_AT_GB,ATL,GB,2026-09-24T20:15:00,THURSDAY
2026,3,2026_W03_BAL_AT_DAL,BAL,DAL,2026-09-27T16:25:00,SUNDAY_LATE
2026,3,2026_W03_CAR_AT_CLE,CAR,CLE,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_CIN_AT_PIT,CIN,PIT,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_HOU_AT_IND,HOU,IND,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_KC_AT_MIA,KC,MIA,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_LAC_AT_BUF,LAC,BUF,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_LAR_AT_DEN,LAR,DEN,2026-09-27T20:20:00,SUNDAY_NIGHT
2026,3,2026_W03_LV_AT_NO,LV,NO,2026-09-27T16:25:00,SUNDAY_LATE
2026,3,2026_W03_MIN_AT_TB,MIN,TB,2026-09-27T16:05:00,SUNDAY_LATE
2026,3,2026_W03_NE_AT_JAX,NE,JAX,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_NYJ_AT_DET,NYJ,DET,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_PHI_AT_CHI,PHI,CHI,2026-09-28T20:15:00,MONDAY
2026,3,2026_W03_SEA_AT_WAS,SEA,WAS,2026-09-27T13:00:00,SUNDAY_EARLY
2026,3,2026_W03_TEN_AT_NYG,TEN,NYG,2026-09-27T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_ARI_AT_NYG,ARI,NYG,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_ATL_AT_NO,ATL,NO,2026-10-05T20:15:00,MONDAY
2026,4,2026_W04_DAL_AT_HOU,DAL,HOU,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_DEN_AT_SF,DEN,SF,2026-10-04T16:25:00,SUNDAY_LATE
2026,4,2026_W04_DET_AT_CAR,DET,CAR,2026-10-04T20:20:00,SUNDAY_NIGHT
2026,4,2026_W04_GB_AT_TB,GB,TB,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_IND_AT_WAS,IND,WAS,2026-10-04T09:30:00,INTERNATIONAL
2026,4,2026_W04_JAX_AT_CIN,JAX,CIN,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_KC_AT_LV,KC,LV,2026-10-04T16:25:00,SUNDAY_LATE
2026,4,2026_W04_LAC_AT_SEA,LAC,SEA,2026-10-04T16:25:00,SUNDAY_LATE
2026,4,2026_W04_LAR_AT_PHI,LAR,PHI,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_MIA_AT_MIN,MIA,MIN,2026-10-04T16:05:00,SUNDAY_LATE
2026,4,2026_W04_NE_AT_BUF,NE,BUF,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_NYJ_AT_CHI,NYJ,CHI,2026-10-04T13:00:00,SUNDAY_EARLY
2026,4,2026_W04_PIT_AT_CLE,PIT,CLE,2026-10-01T20:15:00,THURSDAY
2026,4,2026_W04_TEN_AT_BAL,TEN,BAL,2026-10-04T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_BAL_AT_ATL,BAL,ATL,2026-10-11T20:20:00,SUNDAY_NIGHT
2026,5,2026_W05_BUF_AT_LAR,BUF,LAR,2026-10-12T20:15:00,MONDAY
2026,5,2026_W05_CHI_AT_GB,CHI,GB,2026-10-11T16:25:00,SUNDAY_LATE
2026,5,2026_W05_CIN_AT_MIA,CIN,MIA,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_CLE_AT_NYJ,CLE,NYJ,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_DEN_AT_LAC,DEN,LAC,2026-10-11T16:05:00,SUNDAY_LATE
2026,5,2026_W05_DET_AT_ARI,DET,ARI,2026-10-11T16:25:00,SUNDAY_LATE
2026,5,2026_W05_HOU_AT_TEN,HOU,TEN,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_IND_AT_PIT,IND,PIT,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_LV_AT_NE,LV,NE,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_MIN_AT_NO,MIN,NO,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_NYG_AT_WAS,NYG,WAS,2026-10-11T13:00:00,SUNDAY_EARLY
2026,5,2026_W05_PHI_AT_JAX,PHI,JAX,2026-10-11T09:30:00,INTERNATIONAL
2026,5,2026_W05_SF_AT_SEA,SF,SEA,2026-10-11T16:25:00,SUNDAY_LATE
2026,5,2026_W05_TB_AT_DAL,TB,DAL,2026-10-08T20:15:00,THURSDAY
2026,6,2026_W06_ARI_AT_LAR,ARI,LAR,2026-10-18T16:05:00,SUNDAY_LATE
2026,6,2026_W06_BAL_AT_CLE,BAL,CLE,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_BUF_AT_LV,BUF,LV,2026-10-18T16:25:00,SUNDAY_LATE
2026,6,2026_W06_CAR_AT_PHI,CAR,PHI,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_CHI_AT_ATL,CHI,ATL,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_DAL_AT_GB,DAL,GB,2026-10-18T20:20:00,SUNDAY_NIGHT
2026,6,2026_W06_HOU_AT_JAX,HOU,JAX,2026-10-18T09:30:00,INTERNATIONAL
2026,6,2026_W06_LAC_AT_KC,LAC,KC,2026-10-18T16:25:00,SUNDAY_LATE
2026,6,2026_W06_NO_AT_NYG,NO,NYG,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_NYJ_AT_NE,NYJ,NE,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_PIT_AT_TB,PIT,TB,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_SEA_AT_DEN,SEA,DEN,2026-10-15T20:15:00,THURSDAY
2026,6,2026_W06_TEN_AT_IND,TEN,IND,2026-10-18T13:00:00,SUNDAY_EARLY
2026,6,2026_W06_WAS_AT_SF,WAS,SF,2026-10-19T20:15:00,MONDAY
2026,7,2026_W07_CIN_AT_BAL,CIN,BAL,2026-10-25T13:00:00,SUNDAY_EARLY
2026,7,2026_W07_CLE_AT_TEN,CLE,TEN,2026-10-25T13:00:00,SUNDAY_EARLY
2026,7,2026_W07_DAL_AT_PHI,DAL,PHI,2026-10-26T20:15:00,MONDAY
2026,7,2026_W07_DEN_AT_ARI,DEN,ARI,2026-10-25T16:05:00,SUNDAY_LATE
2026,7,2026_W07_GB_AT_DET,GB,DET,2026-10-25T16:25:00,SUNDAY_LATE
2026,7,2026_W07_IND_AT_MIN,IND,MIN,2026-10-25T13:00:00,SUNDAY_EARLY
2026,7,2026_W07_KC_AT_SEA,KC,SEA,2026-10-25T20:20:00,SUNDAY_NIGHT
2026,7,2026_W07_LAR_AT_LV,LAR,LV,2026-10-25T16:25:00,SUNDAY_LATE
2026,7,2026_W07_MIA_AT_NYJ,MIA,NYJ,2026-10-25T13:00:00,SUNDAY_EARLY
2026,7,2026_W07_NE_AT_CHI,NE,CHI,2026-10-22T20:15:00,THURSDAY
